Year,Type of hazardous waste,Unit,Category of E-waste,Value
2018,Used Lead Acid Battery exported,(Million Tonnes),,1887.2
2018,E-waste exported,(Million Tonnes),,21.7
2019,Used Lead Acid Battery exported,(Million Tonnes),,2701.9
2019,Paint Related Waste exported,(Million Tonnes),,6.8
2009,,('000 tonnes),Total E-waste generated,12.83
2009,,('000 tonnes),Amount going to large equipment,3.03
2009,,('000 tonnes),Screens monitors and equipment containing screens (..),1.98
2009,,('000 tonnes),Temperature exchange equipment (Cooling and Freezing Equipment),2.94
2009,,('000 tonnes),Small E-waste,4.88
2009,,('000 tonnes),of which lamps,0.26
2009,,('000 tonnes),of which small equipment,3.82
2009,,('000 tonnes),of which Small IT and telecommunication equipment,0.8
2010,,('000 tonnes),Total E-waste generated,13.56
2010,,('000 tonnes),Amount going to large equipment,3.23
2010,,('000 tonnes),Screens monitors and equipment containing screens (..),2.12
2010,,('000 tonnes),Temperature exchange equipment (Cooling and Freezing Equipment),3.12
2010,,('000 tonnes),Small E-waste,5.08
2010,,('000 tonnes),of which lamps,0.28
2010,,('000 tonnes),of which small equipment,3.96
2010,,('000 tonnes),of which Small IT and telecommunication equipment,0.84
2011,,('000 tonnes),Total E-waste generated,14.36
2011,,('000 tonnes),Amount going to large equipment,3.5
2011,,('000 tonnes),Screens monitors and equipment containing screens (..),2.23
2011,,('000 tonnes),Temperature exchange equipment (Cooling and Freezing Equipment),3.3
2011,,('000 tonnes),Small E-waste,5.32
2011,,('000 tonnes),of which lamps,0.31
2011,,('000 tonnes),of which small equipment,4.13
2011,,('000 tonnes),of which Small IT and telecommunication equipment,0.88
2012,,('000 tonnes),Total E-waste generated,14.98
2012,,('000 tonnes),Amount going to large equipment,3.72
2012,,('000 tonnes),Screens monitors and equipment containing screens (..),2.3
2012,,('000 tonnes),Temperature exchange equipment (Cooling and Freezing Equipment),3.47
2012,,('000 tonnes),Small E-waste,5.48
2012,,('000 tonnes),of which lamps,0.32
2012,,('000 tonnes),of which small equipment,4.26
2012,,('000 tonnes),of which Small IT and telecommunication equipment,0.91
2013,,('000 tonnes),Total E-waste generated,15.56
2013,,('000 tonnes),Amount going to large equipment,3.94
2013,,('000 tonnes),Screens monitors  and equipment containing screens (..),2.33
2013,,('000 tonnes),Temperature exchange equipment (Cooling and Freezing Equipment),3.64
2013,,('000 tonnes),Small E-waste,5.64
2013,,('000 tonnes),of which lamps,0.33
2013,,('000 tonnes),of which small equipment,4.39
2013,,('000 tonnes),of which: Small IT and telecommunication equipment,0.93
2014,,('000 tonnes),Total E-waste generated,16.12
2014,,('000 tonnes),Amount going to large equipment,4.17
2014,,('000 tonnes),Screens monitors  and equipment containing screens (..),2.33
2014,,('000 tonnes),Temperature exchange equipment (Cooling and Freezing Equipment),3.8
2014,,('000 tonnes),Small E-waste,5.81
2014,,('000 tonnes),of which lamps,0.33
2014,,('000 tonnes),of which small equipment,4.54
2014,,('000 tonnes),of which: Small IT and telecommunication equipment,0.95
2015,,('000 tonnes),Total E-waste generated,16.67
2015,,('000 tonnes),Amount going to large equipment,4.41
2015,,('000 tonnes),Screens monitors and equipment containing screens (..),2.3
2015,,('000 tonnes),Temperature exchange equipment (Cooling and Freezing Equipment),3.96
2015,,('000 tonnes),Small E-waste,6.0
2015,,('000 tonnes),of which lamps,0.33
2015,,('000 tonnes),of which small equipment,4.7
2015,,('000 tonnes),of which: Small IT and telecommunication equipment,0.97
2013,,(Million Tonnes),Used lead acid batteries exported,2937.2
2013,,(Million Tonnes),Lead sulphate exported,613.6
2013,,,Solid contaminated with polychlorinatedbiphenyl (PCB) exported,0.0
2013,,,Obsolete pesticide exported,0.0
2013,,(Million Tonnes),Total exported,3550.8
2014,,(Million Tonnes),Used lead acid batteries exported,1738.0
2014,,(Million Tonnes),Lead sulphate exported,0.0
2014,,(Million Tonnes),Lead sulphate exported,0.0
2014,,,Obsolete pesticide exported,0.0
2014,,(Million Tonnes),Total exported,1738.0
2015,,(Million Tonnes),Used lead acid batteries exported,2472.3
2015,,,Obsolete pesticide exported,0.0
2015,,,Solid contaminated with polychlorinatedbiphenyl (PCB) exported,0.0
2015,,,Obsolete pesticide exported,0.0
2015,,(Million Tonnes),Total exported,2472.3
2017,,(Million Tonnes),Used lead acid batteries exported,3288.1
2017,,(Million Tonnes),Lead sulphate exported,0.0
2017,,(Million Tonnes),Solid contaminated with polychlorinatedbiphenyl (PCB) exported,126.9
2017,,(Million Tonnes),Obsolete pesticide exported,80.0
2017,,(Million Tonnes),Total exported,3495.0
